Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,29.03495216369629,29.254359300467172,28.321875481799538,28.321875481799538,212976
2002-08-13,28.641860961914062,29.537777887580777,28.43159625349715,29.071535719009947,153576
2002-08-14,26.66718101501465,28.705843292085955,26.127801472818597,28.705843292085955,822776
2002-08-15,26.66718101501465,26.667181015014645,26.667181015014645,26.667181015014645,0
2002-08-16,26.60318946838379,27.791648104428425,26.146089992982006,26.530054668285022,811856
2002-08-19,25.944971084594727,26.822602837522577,25.698138984965116,26.822602837522577,205880
2002-08-20,26.66718101501465,28.32187866711816,25.954104252919233,26.127801472818597,3773624
2002-08-21,27.9744930267334,28.66928491479199,26.712899359140557,28.139047752101405,3011064
2002-08-22,29.181230545043945,30.406256535775654,28.751555938111462,28.897828322806372,6732480
2002-08-23,30.936487197875977,31.905538495256113,29.080664728014103,29.437201706224837,4841672
2002-08-26,30.8267765045166,31.63127011992539,30.579941777789138,31.430145321116893,2576912
2002-08-27,30.05887222290039,32.36265560206413,29.80289753184437,31.08277656695425,3694224
2002-08-28,30.086286544799805,30.4245384659632,29.46462961497086,29.967439013109704,1674960
2002-08-29,30.086286544799805,30.6256633411842,29.80288432604791,29.90344676365841,1236544
2002-08-30,32.21637725830078,33.00258907967764,30.16857173488538,30.177714284303068,3762384
2002-09-02,32.54549026489258,33.624244163324924,32.21637800760179,32.728330097841415,2389568
2002-09-03,31.018775939941406,32.86545933273983,30.717091337414693,32.7283294606978,986784
2002-09-04,31.695270538330078,31.996954998060854,30.269119986148183,30.62565692671539,1449856
2002-09-05,31.5032901763916,32.81059330170097,31.08275818415277,32.664320940498776,1061360
2002-09-06,30.3331241607666,31.63128796187271,29.994872177319355,31.63128796187271,907472
2002-09-09,29.94002914428711,31.219908252745185,28.88869987662512,28.88869987662512,880848
2002-09-10,29.94002914428711,29.94002914428711,29.94002914428711,29.94002914428711,0
2002-09-11,30.69882583618164,31.229063353855164,30.104596011318737,30.104596011318737,635936
2002-09-12,30.854198455810547,31.61298207224036,30.643933923039583,31.07360553129162,781968
2002-09-13,29.976581573486328,30.88163793255619,29.72060699573995,29.775459488089503,338264
2002-09-16,29.391504287719727,30.424548268025234,29.162954487659697,30.259993527947834,288592
2002-09-17,30.25083351135254,30.442815790536713,29.821161809277715,29.921721431310097,462952
2002-09-18,29.318359375,30.168563222579998,29.071524559940727,30.077143334026726,315432
2002-09-19,29.071529388427734,30.040580926024806,28.70584977347896,29.071529388427734,490848
2002-09-20,28.59613800048828,29.016670016065866,27.910488884844412,28.02933640550405,501072
2002-09-23,28.111621856689453,28.8704059810832,27.992777091634984,28.797271170267244,248504
2002-09-24,27.16084861755371,28.011052439164917,26.859161320594552,28.011052439164917,267912
2002-09-25,27.371112823486328,27.608805080840497,26.32892669960948,26.53005156119688,379544
2002-09-26,27.8007869720459,28.239601294382087,27.608804659806285,27.937916796515136,178136
2002-09-27,28.13905143737793,28.523016233408914,27.709379469349095,27.709379469349095,206288
2002-09-30,27.115148544311523,28.139049963575488,26.53006162045861,27.709378018051023,202232
2002-10-01,26.886594772338867,27.608811467988865,26.420352696188022,27.2431318458963,240192
